twoE,goldbach_count,normalized_R,is_power_of_two
596422,2640,0.782833,False
600360,7059,2.081516,False
604326,5425,1.590767,False
608318,2682,0.782052,False
612336,5341,1.548708,False
616380,7252,2.091101,False
620452,3308,0.948532,False
624550,3709,1.057579,False
628676,2730,0.774083,False
632828,3414,0.962626,False
637008,5833,1.635517,False
641216,2888,0.805246,False
645452,2784,0.771913,False
649714,3128,0.862452,False
654006,5649,1.548844,False
658326,5673,1.546737,False
662674,2867,0.777319,False
667052,3099,0.835526,False
671458,2893,0.775629,False
675892,3563,0.949924,False
680358,7134,1.891350,False
684852,7339,1.934827,False
689374,3731,0.978132,False
693928,2965,0.772970,False
698512,3040,0.788093,False
703126,2999,0.773118,False
707770,4848,1.242789,False
712446,7338,1.870585,False
717150,9875,2.503242,False
721888,3286,0.828319,False
726656,3724,0.933479,False
731456,3472,0.865443,False
736288,4040,1.001392,False
741150,8469,2.087467,False
746046,7894,1.934854,False
750974,3903,0.951290,False
755934,6758,1.637934,False
760928,3986,0.960679,False
765954,7760,1.859797,False
771012,7418,1.767886,False
776106,6573,1.557733,False
781232,3333,0.785466,False
786392,3272,0.766774,False
791586,6850,1.596271,False
796816,3321,0.769566,False
802078,3370,0.776550,False
807376,3427,0.785262,False
812710,4659,1.061583,False
818078,3410,0.772639,False
823480,5873,1.323256,False
828920,5203,1.165729,False
834396,7200,1.604118,False
839906,3471,0.768987,False
845454,7037,1.550287,False
851038,3519,0.770910,False
856660,5951,1.296384,False
862318,3580,0.775508,False
868014,8760,1.886975,False
873748,3641,0.779905,False
879520,5104,1.087151,False
885328,3575,0.757206,False
891176,4827,1.016655,False
897064,4547,0.952311,False
902988,7439,1.549269,False
908952,8413,1.742293,False
914956,4644,0.956357,False
921000,10184,2.085467,False
927084,7953,1.619469,False
933208,3835,0.776540,False
939372,9457,1.904183,False
945576,8096,1.620998,False
951822,7855,1.563919,False
958108,3847,0.761635,False
964438,3927,0.773109,False
970808,3936,0.770533,False
977220,10944,2.130432,False
983674,3981,0.770618,False
990172,4075,0.784386,False
996712,4146,0.793572,False
1003296,9768,1.859162,False
1009924,4128,0.781278,False
1016594,4098,0.771245,False
1023308,4998,0.935343,False
1030068,9541,1.775507,False
1036872,8359,1.546808,False
1043720,5645,1.038724,False
1048576,4239,0.776917,True
1050614,4274,0.782031,False
1057554,8695,1.582020,False
1064540,6325,1.144342,False
1071572,4240,0.762805,False
1078650,12508,2.237629,False
1085774,4572,0.813316,False
1092946,4419,0.781680,False
1100164,4811,0.846238,False
1107432,8829,1.544260,False
1114746,9296,1.616802,False
1122110,6638,1.148019,False
1129522,4513,0.776119,False
1136982,12754,2.181025,False
1144492,4559,0.775237,False
1152052,5080,0.858972,False
1159662,11071,1.861455,False
1167322,5721,0.956507,False
1175032,4702,0.781716,False
1182794,4865,0.804264,False
1190606,4727,0.777054,False
1198470,16519,2.700219,False
1206386,5094,0.827987,False
1214354,5003,0.808620,False
1222376,4880,0.784300,False
1230450,14065,2.247765,False
1238578,5396,0.857495,False
1246758,10017,1.582872,False
1254994,5563,0.874108,False
1263284,5533,0.864499,False
1271628,9894,1.537176,False
1280026,5661,0.874566,False
1288482,10920,1.677526,False
1296992,5053,0.771868,False
1305560,6899,1.047917,False
1314184,5230,0.789931,False
1322864,5374,0.807108,False
1331602,5228,0.780757,False
1340396,5309,0.788388,False
1349250,16804,2.481337,False
1358162,5713,0.838848,False
1367134,5250,0.766520,False
1376164,5360,0.778170,False
1385254,5840,0.843078,False
1394404,6308,0.905507,False
1403614,5488,0.783356,False
1412886,10929,1.551208,False
1422218,7057,0.995989,False
1431612,15858,2.225497,False
1441068,11950,1.667596,False
1450586,5573,0.773314,False
1460168,5641,0.778335,False
1469812,5626,0.771888,False
1479522,13015,1.775585,False
1489294,5701,0.773378,False
1499132,5590,0.754042,False
1509034,5832,0.782247,False
1519000,9544,1.272916,False
1529034,12700,1.684285,False
1539134,5985,0.789256,False
1549300,7846,1.028832,False
1559534,5901,0.769420,False
1569834,14301,1.854156,False
1580204,5980,0.770943,False
1590642,12784,1.638813,False
1601148,12942,1.649701,False
1611724,6258,0.793196,False
1622370,16644,2.097700,False
1633086,16180,2.027705,False
1643872,6331,0.788931,False
1654730,10980,1.360535,False
1665660,18851,2.322639,False
1676662,6954,0.851965,False
1687738,6897,0.840208,False
1698886,7631,0.924374,False
1710108,12969,1.562111,False
1721402,6408,0.767481,False
1732774,6877,0.818997,False
1744218,15769,1.867354,False
1755740,10439,1.229192,False
1767336,13214,1.547155,False
1779010,8958,1.042915,False
1790762,6765,0.783147,False
1802590,8917,1.026437,False
1814496,13800,1.579540,False
1826482,8178,0.930756,False
1838546,6936,0.784938,False
1850690,9053,1.018722,False
1862914,7123,0.797009,False
1875218,6849,0.762017,False
1887606,16993,1.879939,False
1900074,15591,1.715079,False
1912624,8447,0.923951,False
1925256,14317,1.557166,False
1937974,7065,0.764065,False
1950774,17192,1.848761,False
1963660,9805,1.048425,False
1976630,9622,1.023035,False
1989686,7348,0.776836,False
2000006,7336,0.772116,False
2002828,7880,0.828365,False
2016058,8192,0.856288,False
2029374,14810,1.539288,False
2042778,14932,1.543183,False
2056272,14946,1.535884,False
2069854,7956,0.812947,False
2083526,7637,0.775933,False
2097152,7471,0.754811,True
2097288,15240,1.539644,False
2111142,17492,1.757147,False
2125086,15389,1.537137,False
2139122,7742,0.768933,False
2153252,7995,0.789563,False
2167474,8238,0.808953,False
2181792,15787,1.541465,False
2196202,7855,0.762628,False
2210710,10656,1.028710,False
2225312,8084,0.775992,False
2240010,21329,2.035793,False
2254806,17056,1.618721,False
2269700,10756,1.015026,False
2284692,16420,1.540746,False
2299782,16374,1.527721,False
2314972,9220,0.855365,False
2330264,8467,0.781053,False
2345656,8321,0.763234,False
2361150,25269,2.304626,False
2376746,8458,0.767027,False
2392444,9103,0.820839,False
2408248,8568,0.768215,False
2424154,9125,0.813516,False
2440166,8559,0.758728,False
2456284,8611,0.759007,False
2472508,9258,0.811407,False
2488840,12010,1.046632,False
2505280,11832,1.025269,False
2521828,9084,0.782683,False
2538484,9717,0.832472,False
2555252,10802,0.920174,False
2572130,13630,1.154490,False
2589120,26013,2.190850,False
2606222,9703,0.812562,False
2623436,9204,0.766399,False
2640764,11453,0.948255,False
2658208,11153,0.918174,False
2675766,20644,1.689874,False
2693440,13273,1.080330,False
2711230,12643,1.023210,False
2729138,9526,0.766570,False
2747166,21398,1.712147,False
2765310,25616,2.038007,False
2783576,10268,0.812281,False
2801962,9813,0.771878,False
2820470,14184,1.109357,False
2839100,15380,1.196065,False
2857852,9889,0.764674,False
2876730,26556,2.041794,False
2895732,23996,1.834481,False
2914858,9998,0.759999,False
2934112,10141,0.766488,False
2953492,10176,0.764762,False
2973000,27275,2.038162,False
2992638,22883,1.700243,False
3012406,10336,0.763616,False
3032302,13618,1.000368,False
3052332,20838,1.522041,False
3072494,10655,0.773833,False
3092788,10825,0.781709,False
3113216,10646,0.764412,False
3133780,16668,1.190002,False
3154480,17786,1.262599,False
3175316,10906,0.769796,False
3196288,10941,0.767874,False
3217402,11081,0.773275,False
3238652,11091,0.769570,False
3260046,22139,1.527417,False
3281578,11950,0.819766,False
3303254,11514,0.785362,False
3325072,11437,0.775671,False
3347036,15059,1.015507,False
3369144,22633,1.517575,False
3391398,24469,1.631344,False
3413798,12357,0.819150,False
3436348,11664,0.768810,False
3459046,11650,0.763515,False
3481894,12891,0.840038,False
3504892,12564,0.814068,False
3528042,28510,1.836751,False
3551346,23844,1.527398,False
3574804,11962,0.761898,False
3598416,24296,1.538677,False
3622184,12067,0.759856,False
3646110,35447,2.219377,False
3670194,27172,1.691579,False
3694436,12971,0.802903,False
3718838,12506,0.769710,False
3743402,13577,0.830866,False
3768128,16366,0.995838,False
3793018,13008,0.787000,False
3818072,12622,0.759295,False
3843290,19003,1.136640,False
3868676,15909,0.946153,False
3894230,17282,1.021951,False
3919952,13003,0.764535,False
3945844,16603,0.970639,False
3971908,13143,0.763982,False
3998144,13121,0.758355,False
4024552,16024,0.920859,False
4051136,13348,0.762703,False
4077894,28429,1.615166,False
4104830,17908,1.011624,False
4131942,26987,1.515804,False
4159236,27438,1.532346,False
4186708,13713,0.761470,False
4194304,13705,0.759828,True
4214362,13824,0.763255,False
4242198,28819,1.582088,False
